VendorID,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RateCodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,year,is_covid_rel
1,2011-01-10 09:13:22,2011-01-10 09:22:51,1.0,1.1,237,162,1.0,N,cash,6.5,0.0,0.5,0.0,0.0,0.0,7.0,2011,False
1,2011-01-23 18:32:07,2011-01-23 18:59:17,3.0,13.3,130,48,2.0,N,cash,45.0,0.0,0.5,0.0,0.0,0.0,45.5,2011,False
1,2011-01-10 08:03:33,2011-01-10 08:09:25,1.0,1.7,186,125,1.0,N,cash,6.5,0.0,0.5,0.0,0.0,0.0,7.0,2011,False
2,2011-01-05 22:59:00,2011-01-05 23:07:00,5.0,1.85,138,138,1.0,,cash,6.9,0.5,0.5,0.0,0.0,0.0,7.9,2011,False
1,2011-01-01 03:56:26,2011-01-01 04:07:17,1.0,1.0,79,113,1.0,N,cash,7.3,0.5,0.5,0.0,0.0,0.0,8.3,2011,False
1,2011-01-22 00:39:25,2011-01-22 00:56:48,2.0,4.8,158,236,1.0,N,credit_card,13.7,0.5,0.5,2.2,0.0,0.0,16.9,2011,False
1,2011-01-28 13:05:51,2011-01-28 13:11:08,1.0,0.8,161,170,1.0,N,credit_card,4.5,0.0,0.5,1.0,0.0,0.0,6.0,2011,False
1,2011-01-04 20:23:52,2011-01-04 20:34:33,1.0,2.5,246,79,1.0,N,credit_card,8.9,0.5,0.5,1.98,0.0,0.0,11.88,2011,False
2,2011-01-03 12:01:00,2011-01-03 12:15:00,3.0,5.73,88,162,1.0,,credit_card,15.3,0.0,0.5,1.7,0.0,0.0,17.5,2011,False
2,2011-01-16 22:10:00,2011-01-16 22:18:00,5.0,1.82,50,170,1.0,,credit_card,6.9,0.5,0.5,1.5,0.0,0.0,9.4,2011,False
1,2011-02-04 11:14:51,2011-02-04 11:46:32,1.0,3.2,158,233,1.0,N,cash,16.5,0.0,0.5,0.0,0.0,0.0,17.0,2011,False
2,2011-02-22 21:39:00,2011-02-22 21:42:00,4.0,0.51,137,170,1.0,,cash,4.1,0.5,0.5,0.0,0.0,0.0,5.1,2011,False
2,2011-02-25 17:26:00,2011-02-25 17:31:00,5.0,0.48,70,129,1.0,,cash,4.5,1.0,0.5,0.0,0.0,0.0,6.0,2011,False
1,2011-02-16 19:45:14,2011-02-16 19:51:41,1.0,0.9,142,48,1.0,N,cash,5.3,1.0,0.5,0.0,0.0,0.0,6.8,2011,False
2,2011-02-16 12:55:00,2011-02-16 13:09:00,1.0,1.97,114,170,1.0,,cash,8.9,0.0,0.5,0.0,0.0,0.0,9.4,2011,False
1,2011-02-12 16:01:45,2011-02-12 16:23:14,1.0,5.3,186,87,1.0,N,credit_card,16.9,0.0,0.5,3.48,0.0,0.0,20.88,2011,False
1,2011-02-27 02:26:50,2011-02-27 02:30:19,1.0,0.4,161,230,1.0,N,cash,4.1,0.5,0.5,0.0,0.0,0.0,5.1,2011,False
1,2011-02-25 17:52:54,2011-02-25 18:00:33,1.0,1.0,140,162,1.0,N,cash,6.1,1.0,0.5,0.0,0.0,0.0,7.6,2011,False
2,2011-02-24 08:30:00,2011-02-24 08:48:00,1.0,2.77,249,162,1.0,,cash,11.3,0.0,0.5,0.0,0.0,0.0,11.8,2011,False
